DISTANCE_IN_METERS,DURATION_IN_SEC,NDT_IN_KMH,ORGANISATION,POINT_1_CITY,POINT_1_COUNTRY,POINT_1_LAT,POINT_1_LNG,POINT_1_NAME,POINT_1_POSTAL_CODE,POINT_1_STREET,POINT_1_STREET_NUMBER,POINT_2_CITY,POINT_2_COUNTRY,POINT_2_LAT,POINT_2_LNG,POINT_2_NAME,POINT_2_POSTAL_CODE,POINT_2_STREET,POINT_2_STREET_NUMBER,RBA_ID,REPORT_ID,REPORT_NAME,ROAD_TYPE,_id
1460,75,70,COWI,Aarhus,Denmark,56.152447520476194,10.064734635581999,3184,8220,Silkeborgvej,790,Aarhus,Denmark,56.15286327729632,10.087895233135214,4343,8220,Silkeborgvej,699,229170,195233,AAR_BT_0363 3184 4343,MAJOR_ROAD,284
1485,76,70,COWI,Aarhus,Denmark,56.1529230346212,10.087875116567602,4343,8220,Silkeborgvej,699,Aarhus,Denmark,56.152447520476194,10.064734635581999,3184,8220,Silkeborgvej,790,229172,195259,AAR_BT_0364 4343 3184,MAJOR_ROAD,285
1250,64,70,COWI,Højbjerg,Denmark,56.108951357622736,10.182395559524593,4570,8270,Ringvej Syd,,Højbjerg,Denmark,56.10986429894997,10.162728804893504,4557,8270,Ringvej Syd,,229449,197868,AAR_BT_0412 4570 4557,MAJOR_ROAD,333
1325,84,57,COWI,Aarhus,Denmark,56.13417989322382,10.17948788343233,4556,8260,Rosenvangs Alle,27,Aarhus,Denmark,56.131053962866226,10.166163050262412,3987,8260,Skanderborgvej,169,229559,203716,AAR_BT_0467 4556 3987,MAJOR_ROAD,388
620,32,70,COWI,,Denmark,56.184659561973874,10.19604842460626,3155,,,,Aarhus,Denmark,56.18958131478287,10.191119927578029,4361,8200,Randersvej,210,229084,192653,AAR_BT_0316 3155 4361,MAJOR_ROAD,241
855,51,60,COWI,Risskov,Denmark,56.19371107014121,10.218878251485876,4581,8240,Dybbølvej,7B,Risskov,Denmark,56.190387445286476,10.223110775463056,4351,8240,Vestre Strandalle,69-71,229120,193132,AAR_BT_0338 4581 4351,MAJOR_ROAD,259
740,53,50,COWI,Aarhus,Denmark,56.17389164456407,10.182183959489976,3983,8200,Paludan-Müllers Vej,48,Aarhus,Denmark,56.179322409643085,10.175338207340246,4363,8200,Paludan-Müllers Vej,231,229128,193239,AAR_BT_0342 3983 4363,MAJOR_ROAD,263
1315,59,80,COWI,Tilst,Denmark,56.18546282170713,10.096344851520598,4347,8381,Tilst Parkvej,11,Tilst,Denmark,56.18959388227456,10.07666460978703,4333,8381,Viborgvej,,229132,193294,AAR_BT_0344 4347 4333,MAJOR_ROAD,265
1110,55,73,COWI,Tilst,Denmark,56.18546282170713,10.096344851520598,4347,8381,Tilst Parkvej,11,Tilst,Denmark,56.182637286706964,10.113531440475526,4335,8381,Langørvej,36,229134,193322,AAR_BT_0345 4347 4335,MAJOR_ROAD,266
1110,55,73,COWI,Tilst,Denmark,56.182637286706964,10.113531440475526,4335,8381,Langørvej,36,Tilst,Denmark,56.18546282170713,10.096344851520598,4347,8381,Tilst Parkvej,11,229136,193348,AAR_BT_0346 4335 4347,MAJOR_ROAD,267
1300,82,57,COWI,Aarhus,Denmark,56.13096577062022,10.166318618385276,3987,8260,Skanderborgvej,169,Aarhus,Denmark,56.13417989322382,10.17948788343233,4556,8260,Rosenvangs Alle,27,229561,203742,AAR_BT_0468 3987 4556,MAJOR_ROAD,389
580,35,60,COWI,Aarhus,Denmark,56.13959744418457,10.186632644180236,3990,8000,Marselis Boulevard,135,Aarhus,Denmark,56.13962771141822,10.177235595245293,3988,8000,Haveforening Af 1918,5,180149,179093,AAR_BT_0116 3990 3988,MAJOR_ROAD,50
845,38,80,COWI,Ega,Denmark,56.206985193530365,10.267323856483472,4569,8250,Grenåvej,,Ega,Denmark,56.21155278296297,10.27770202943043,4353,8250,Grenåvej,,192374,190501,AAR_BT_0282 4569 4353,MAJOR_ROAD,215
